#,emoji,unicode,name
167,🤟,U+1F91F,love-you gesture
168,🤘,U+1F918,sign of the horns
169,🤙,U+1F919,call me hand
170,👈,U+1F448,backhand index pointing left
171,👉,U+1F449,backhand index pointing right
172,👆,U+1F446,backhand index pointing up
173,🖕,U+1F595,middle finger
174,👇,U+1F447,backhand index pointing down
175,☝,U+261D,index pointing up
176,👍,U+1F44D,thumbs up
177,👎,U+1F44E,thumbs down
178,✊,U+270A,raised fist
179,👊,U+1F44A,oncoming fist
180,🤛,U+1F91B,left-facing fist
181,🤜,U+1F91C,right-facing fist
182,👏,U+1F44F,clapping hands
183,🙌,U+1F64C,raising hands
184,👐,U+1F450,open hands
185,🤲,U+1F932,palms up together
186,🤝,U+1F91D,handshake
187,🙏,U+1F64F,folded hands
188,✍,U+270D,writing hand
189,💅,U+1F485,nail polish
190,🤳,U+1F933,selfie
191,💪,U+1F4AA,flexed biceps
192,🦾,U+1F9BE,mechanical arm
193,🦿,U+1F9BF,mechanical leg
194,🦵,U+1F9B5,leg
195,🦶,U+1F9B6,foot
196,👂,U+1F442,ear
197,🦻,U+1F9BB,ear with hearing aid
198,👃,U+1F443,nose
199,🧠,U+1F9E0,brain
200,🫀,U+1FAC0,anatomical heart
201,🫁,U+1FAC1,lungs
202,🦷,U+1F9B7,tooth
203,🦴,U+1F9B4,bone
204,👀,U+1F440,eyes
205,👁,U+1F441,eye
206,👅,U+1F445,tongue
207,👄,U+1F444,mouth
208,👶,U+1F476,baby
209,🧒,U+1F9D2,child
210,👦,U+1F466,boy
211,👧,U+1F467,girl
212,🧑,U+1F9D1,person
213,👱,U+1F471,person: blond hair
214,👨,U+1F468,man
215,🧔,U+1F9D4,person: beard
216,🧔‍♂️,U+1F9D4 U+200D U+2642 U+FE0F,⊛ man: beard
217,🧔‍♀️,U+1F9D4 U+200D U+2640 U+FE0F,⊛ woman: beard
218,👨‍🦰,U+1F468 U+200D U+1F9B0,man: red hair
219,👨‍🦱,U+1F468 U+200D U+1F9B1,man: curly hair
220,👨‍🦳,U+1F468 U+200D U+1F9B3,man: white hair
221,👨‍🦲,U+1F468 U+200D U+1F9B2,man: bald
222,👩,U+1F469,woman
223,👩‍🦰,U+1F469 U+200D U+1F9B0,woman: red hair
224,🧑‍🦰,U+1F9D1 U+200D U+1F9B0,person: red hair
225,👩‍🦱,U+1F469 U+200D U+1F9B1,woman: curly hair
226,🧑‍🦱,U+1F9D1 U+200D U+1F9B1,person: curly hair
227,👩‍🦳,U+1F469 U+200D U+1F9B3,woman: white hair
228,🧑‍🦳,U+1F9D1 U+200D U+1F9B3,person: white hair
229,👩‍🦲,U+1F469 U+200D U+1F9B2,woman: bald
230,🧑‍🦲,U+1F9D1 U+200D U+1F9B2,person: bald
231,👱‍♀️,U+1F471 U+200D U+2640 U+FE0F,woman: blond hair
232,👱‍♂️,U+1F471 U+200D U+2642 U+FE0F,man: blond hair
233,🧓,U+1F9D3,older person
234,👴,U+1F474,old man
235,👵,U+1F475,old woman
236,🙍,U+1F64D,person frowning
237,🙍‍♂️,U+1F64D U+200D U+2642 U+FE0F,man frowning
238,🙍‍♀️,U+1F64D U+200D U+2640 U+FE0F,woman frowning
239,🙎,U+1F64E,person pouting
240,🙎‍♂️,U+1F64E U+200D U+2642 U+FE0F,man pouting
241,🙎‍♀️,U+1F64E U+200D U+2640 U+FE0F,woman pouting
242,🙅,U+1F645,person gesturing NO
243,🙅‍♂️,U+1F645 U+200D U+2642 U+FE0F,man gesturing NO
244,🙅‍♀️,U+1F645 U+200D U+2640 U+FE0F,woman gesturing NO
245,🙆,U+1F646,person gesturing OK
246,🙆‍♂️,U+1F646 U+200D U+2642 U+FE0F,man gesturing OK
247,🙆‍♀️,U+1F646 U+200D U+2640 U+FE0F,woman gesturing OK
248,💁,U+1F481,person tipping hand
249,💁‍♂️,U+1F481 U+200D U+2642 U+FE0F,man tipping hand
250,💁‍♀️,U+1F481 U+200D U+2640 U+FE0F,woman tipping hand
251,🙋,U+1F64B,person raising hand
252,🙋‍♂️,U+1F64B U+200D U+2642 U+FE0F,man raising hand
253,🙋‍♀️,U+1F64B U+200D U+2640 U+FE0F,woman raising hand
254,🧏,U+1F9CF,deaf person
255,🧏‍♂️,U+1F9CF U+200D U+2642 U+FE0F,deaf man
256,🧏‍♀️,U+1F9CF U+200D U+2640 U+FE0F,deaf woman
257,🙇,U+1F647,person bowing
258,🙇‍♂️,U+1F647 U+200D U+2642 U+FE0F,man bowing
259,🙇‍♀️,U+1F647 U+200D U+2640 U+FE0F,woman bowing
260,🤦,U+1F926,person facepalming
261,🤦‍♂️,U+1F926 U+200D U+2642 U+FE0F,man facepalming
262,🤦‍♀️,U+1F926 U+200D U+2640 U+FE0F,woman facepalming
263,🤷,U+1F937,person shrugging
264,🤷‍♂️,U+1F937 U+200D U+2642 U+FE0F,man shrugging
265,🤷‍♀️,U+1F937 U+200D U+2640 U+FE0F,woman shrugging
266,🧑‍⚕️,U+1F9D1 U+200D U+2695 U+FE0F,health worker
267,👨‍⚕️,U+1F468 U+200D U+2695 U+FE0F,man health worker
268,👩‍⚕️,U+1F469 U+200D U+2695 U+FE0F,woman health worker
269,🧑‍🎓,U+1F9D1 U+200D U+1F393,student
270,👨‍🎓,U+1F468 U+200D U+1F393,man student
271,👩‍🎓,U+1F469 U+200D U+1F393,woman student
272,🧑‍🏫,U+1F9D1 U+200D U+1F3EB,teacher
273,👨‍🏫,U+1F468 U+200D U+1F3EB,man teacher
274,👩‍🏫,U+1F469 U+200D U+1F3EB,woman teacher
275,🧑‍⚖️,U+1F9D1 U+200D U+2696 U+FE0F,judge
276,👨‍⚖️,U+1F468 U+200D U+2696 U+FE0F,man judge
277,👩‍⚖️,U+1F469 U+200D U+2696 U+FE0F,woman judge
278,🧑‍🌾,U+1F9D1 U+200D U+1F33E,farmer
279,👨‍🌾,U+1F468 U+200D U+1F33E,man farmer
280,👩‍🌾,U+1F469 U+200D U+1F33E,woman farmer
281,🧑‍🍳,U+1F9D1 U+200D U+1F373,cook
282,👨‍🍳,U+1F468 U+200D U+1F373,man cook
283,👩‍🍳,U+1F469 U+200D U+1F373,woman cook
284,🧑‍🔧,U+1F9D1 U+200D U+1F527,mechanic
285,👨‍🔧,U+1F468 U+200D U+1F527,man mechanic
286,👩‍🔧,U+1F469 U+200D U+1F527,woman mechanic
287,🧑‍🏭,U+1F9D1 U+200D U+1F3ED,factory worker
288,👨‍🏭,U+1F468 U+200D U+1F3ED,man factory worker
289,👩‍🏭,U+1F469 U+200D U+1F3ED,woman factory worker
290,🧑‍💼,U+1F9D1 U+200D U+1F4BC,office worker
291,👨‍💼,U+1F468 U+200D U+1F4BC,man office worker
