#,emoji,unicode,name
504,🫂,U+1FAC2,people hugging
505,👣,U+1F463,footprints
506,🦰,U+1F9B0,red hair
507,🦱,U+1F9B1,curly hair
508,🦳,U+1F9B3,white hair
509,🦲,U+1F9B2,bald
510,🐵,U+1F435,monkey face
511,🐒,U+1F412,monkey
512,🦍,U+1F98D,gorilla
513,🦧,U+1F9A7,orangutan
514,🐶,U+1F436,dog face
515,🐕,U+1F415,dog
516,🦮,U+1F9AE,guide dog
517,🐕‍🦺,U+1F415 U+200D U+1F9BA,service dog
518,🐩,U+1F429,poodle
519,🐺,U+1F43A,wolf
520,🦊,U+1F98A,fox
521,🦝,U+1F99D,raccoon
522,🐱,U+1F431,cat face
523,🐈,U+1F408,cat
524,🐈‍⬛,U+1F408 U+200D U+2B1B,black cat
525,🦁,U+1F981,lion
526,🐯,U+1F42F,tiger face
527,🐅,U+1F405,tiger
528,🐆,U+1F406,leopard
529,🐴,U+1F434,horse face
530,🐎,U+1F40E,horse
531,🦄,U+1F984,unicorn
532,🦓,U+1F993,zebra
533,🦌,U+1F98C,deer
534,🦬,U+1F9AC,bison
535,🐮,U+1F42E,cow face
536,🐂,U+1F402,ox
537,🐃,U+1F403,water buffalo
538,🐄,U+1F404,cow
539,🐷,U+1F437,pig face
540,🐖,U+1F416,pig
541,🐗,U+1F417,boar
542,🐽,U+1F43D,pig nose
543,🐏,U+1F40F,ram
544,🐑,U+1F411,ewe
545,🐐,U+1F410,goat
546,🐪,U+1F42A,camel
547,🐫,U+1F42B,two-hump camel
548,🦙,U+1F999,llama
549,🦒,U+1F992,giraffe
550,🐘,U+1F418,elephant
551,🦣,U+1F9A3,mammoth
552,🦏,U+1F98F,rhinoceros
553,🦛,U+1F99B,hippopotamus
554,🐭,U+1F42D,mouse face
555,🐁,U+1F401,mouse
556,🐀,U+1F400,rat
557,🐹,U+1F439,hamster
558,🐰,U+1F430,rabbit face
559,🐇,U+1F407,rabbit
560,🐿,U+1F43F,chipmunk
561,🦫,U+1F9AB,beaver
562,🦔,U+1F994,hedgehog
563,🦇,U+1F987,bat
564,🐻,U+1F43B,bear
565,🐻‍❄️,U+1F43B U+200D U+2744 U+FE0F,polar bear
566,🐨,U+1F428,koala
567,🐼,U+1F43C,panda
568,🦥,U+1F9A5,sloth
569,🦦,U+1F9A6,otter
570,🦨,U+1F9A8,skunk
571,🦘,U+1F998,kangaroo
572,🦡,U+1F9A1,badger
573,🐾,U+1F43E,paw prints
574,🦃,U+1F983,turkey
575,🐔,U+1F414,chicken
576,🐓,U+1F413,rooster
577,🐣,U+1F423,hatching chick
578,🐤,U+1F424,baby chick
579,🐥,U+1F425,front-facing baby chick
580,🐦,U+1F426,bird
581,🐧,U+1F427,penguin
582,🕊,U+1F54A,dove
583,🦅,U+1F985,eagle
584,🦆,U+1F986,duck
585,🦢,U+1F9A2,swan
586,🦉,U+1F989,owl
587,🦤,U+1F9A4,dodo
588,🪶,U+1FAB6,feather
589,🦩,U+1F9A9,flamingo
590,🦚,U+1F99A,peacock
591,🦜,U+1F99C,parrot
592,🐸,U+1F438,frog
593,🐊,U+1F40A,crocodile
594,🐢,U+1F422,turtle
595,🦎,U+1F98E,lizard
596,🐍,U+1F40D,snake
597,🐲,U+1F432,dragon face
598,🐉,U+1F409,dragon
599,🦕,U+1F995,sauropod
600,🦖,U+1F996,T-Rex
601,🐳,U+1F433,spouting whale
602,🐋,U+1F40B,whale
603,🐬,U+1F42C,dolphin
604,🦭,U+1F9AD,seal
605,🐟,U+1F41F,fish
606,🐠,U+1F420,tropical fish
607,🐡,U+1F421,blowfish
608,🦈,U+1F988,shark
609,🐙,U+1F419,octopus
610,🐚,U+1F41A,spiral shell
611,🐌,U+1F40C,snail
612,🦋,U+1F98B,butterfly
613,🐛,U+1F41B,bug
614,🐜,U+1F41C,ant
615,🐝,U+1F41D,honeybee
616,🪲,U+1FAB2,beetle
617,🐞,U+1F41E,lady beetle
618,🦗,U+1F997,cricket
619,🪳,U+1FAB3,cockroach
620,🕷,U+1F577,spider
621,🕸,U+1F578,spider web
622,🦂,U+1F982,scorpion
623,🦟,U+1F99F,mosquito
624,🪰,U+1FAB0,fly
625,🪱,U+1FAB1,worm
626,🦠,U+1F9A0,microbe
627,💐,U+1F490,bouquet
628,🌸,U+1F338,cherry blossom
629,💮,U+1F4AE,white flower
630,🏵,U+1F3F5,rosette
631,🌹,U+1F339,rose
632,🥀,U+1F940,wilted flower
633,🌺,U+1F33A,hibiscus
634,🌻,U+1F33B,sunflower
635,🌼,U+1F33C,blossom
636,🌷,U+1F337,tulip
637,🌱,U+1F331,seedling
638,🪴,U+1FAB4,potted plant
639,🌲,U+1F332,evergreen tree
640,🌳,U+1F333,deciduous tree
641,🌴,U+1F334,palm tree
642,🌵,U+1F335,cactus
643,🌾,U+1F33E,sheaf of rice
644,🌿,U+1F33F,herb
645,☘,U+2618,shamrock
646,🍀,U+1F340,four leaf clover
647,🍁,U+1F341,maple leaf
648,🍂,U+1F342,fallen leaf
649,🍃,U+1F343,leaf fluttering in wind
650,🍇,U+1F347,grapes
651,🍈,U+1F348,melon
652,🍉,U+1F349,watermelon
653,🍊,U+1F34A,tangerine
654,🍋,U+1F34B,lemon
655,🍌,U+1F34C,banana
656,🍍,U+1F34D,pineapple
657,🥭,U+1F96D,mango
658,🍎,U+1F34E,red apple
659,🍏,U+1F34F,green apple
660,🍐,U+1F350,pear
661,🍑,U+1F351,peach
662,🍒,U+1F352,cherries
663,🍓,U+1F353,strawberry
664,🫐,U+1FAD0,blueberries
665,🥝,U+1F95D,kiwi fruit
666,🍅,U+1F345,tomato
667,🫒,U+1FAD2,olive
668,🥥,U+1F965,coconut
669,🥑,U+1F951,avocado
670,🍆,U+1F346,eggplant
671,🥔,U+1F954,potato
672,🥕,U+1F955,carrot
673,🌽,U+1F33D,ear of corn
674,🌶,U+1F336,hot pepper
675,🫑,U+1FAD1,bell pepper
676,🥒,U+1F952,cucumber
677,🥬,U+1F96C,leafy green
678,🥦,U+1F966,broccoli
679,🧄,U+1F9C4,garlic
680,🧅,U+1F9C5,onion
681,🍄,U+1F344,mushroom
682,🥜,U+1F95C,peanuts
683,🌰,U+1F330,chestnut
684,🍞,U+1F35E,bread
685,🥐,U+1F950,croissant
686,🥖,U+1F956,baguette bread
687,🫓,U+1FAD3,flatbread
688,🥨,U+1F968,pretzel
689,🥯,U+1F96F,bagel
690,🥞,U+1F95E,pancakes
691,🧇,U+1F9C7,waffle
692,🧀,U+1F9C0,cheese wedge
693,🍖,U+1F356,meat on bone
694,🍗,U+1F357,poultry leg
695,🥩,U+1F969,cut of meat
696,🥓,U+1F953,bacon
697,🍔,U+1F354,hamburger
698,🍟,U+1F35F,french fries
699,🍕,U+1F355,pizza
700,🌭,U+1F32D,hot dog
701,🥪,U+1F96A,sandwich
702,🌮,U+1F32E,taco
703,🌯,U+1F32F,burrito
704,🫔,U+1FAD4,tamale
705,🥙,U+1F959,stuffed flatbread
706,🧆,U+1F9C6,falafel
707,🥚,U+1F95A,egg
708,🍳,U+1F373,cooking
709,🥘,U+1F958,shallow pan of food
710,🍲,U+1F372,pot of food
711,🫕,U+1FAD5,fondue
712,🥣,U+1F963,bowl with spoon
713,🥗,U+1F957,green salad
714,🍿,U+1F37F,popcorn
715,🧈,U+1F9C8,butter
716,🧂,U+1F9C2,salt
717,🥫,U+1F96B,canned food
718,🍱,U+1F371,bento box
719,🍘,U+1F358,rice cracker
720,🍙,U+1F359,rice ball
721,🍚,U+1F35A,cooked rice
722,🍛,U+1F35B,curry rice
723,🍜,U+1F35C,steaming bowl
724,🍝,U+1F35D,spaghetti
725,🍠,U+1F360,roasted sweet potato
726,🍢,U+1F362,oden
727,🍣,U+1F363,sushi
728,🍤,U+1F364,fried shrimp
729,🍥,U+1F365,fish cake with swirl
730,🥮,U+1F96E,moon cake
731,🍡,U+1F361,dango
732,🥟,U+1F95F,dumpling
733,🥠,U+1F960,fortune cookie
734,🥡,U+1F961,takeout box
735,🦀,U+1F980,crab
736,🦞,U+1F99E,lobster
737,🦐,U+1F990,shrimp
738,🦑,U+1F991,squid
739,🦪,U+1F9AA,oyster
740,🍦,U+1F366,soft ice cream
741,🍧,U+1F367,shaved ice
742,🍨,U+1F368,ice cream
743,🍩,U+1F369,doughnut
744,🍪,U+1F36A,cookie
745,🎂,U+1F382,birthday cake
746,🍰,U+1F370,shortcake
747,🧁,U+1F9C1,cupcake
748,🥧,U+1F967,pie
749,🍫,U+1F36B,chocolate bar
750,🍬,U+1F36C,candy
751,🍭,U+1F36D,lollipop
752,🍮,U+1F36E,custard
753,🍯,U+1F36F,honey pot
754,🍼,U+1F37C,baby bottle
755,🥛,U+1F95B,glass of milk
756,☕,U+2615,hot beverage
757,🫖,U+1FAD6,teapot
758,🍵,U+1F375,teacup without handle
759,🍶,U+1F376,sake
760,🍾,U+1F37E,bottle with popping cork
761,🍷,U+1F377,wine glass
762,🍸,U+1F378,cocktail glass
763,🍹,U+1F379,tropical drink
764,🍺,U+1F37A,beer mug
765,🍻,U+1F37B,clinking beer mugs
766,🥂,U+1F942,clinking glasses
767,🥃,U+1F943,tumbler glass
768,🥤,U+1F964,cup with straw
769,🧋,U+1F9CB,bubble tea
770,🧃,U+1F9C3,beverage box
771,🧉,U+1F9C9,mate
772,🧊,U+1F9CA,ice
773,🥢,U+1F962,chopsticks
774,🍽,U+1F37D,fork and knife with plate
775,🍴,U+1F374,fork and knife
776,🥄,U+1F944,spoon
777,🔪,U+1F52A,kitchen knife
778,🏺,U+1F3FA,amphora
779,🌍,U+1F30D,globe showing Europe-Africa
780,🌎,U+1F30E,globe showing Americas
781,🌏,U+1F30F,globe showing Asia-Australia
782,🌐,U+1F310,globe with meridians
783,🗺,U+1F5FA,world map
784,🗾,U+1F5FE,map of Japan
785,🧭,U+1F9ED,compass
786,🏔,U+1F3D4,snow-capped mountain
787,⛰,U+26F0,mountain
788,🌋,U+1F30B,volcano
789,🗻,U+1F5FB,mount fuji
790,🏕,U+1F3D5,camping
791,🏖,U+1F3D6,beach with umbrella
792,🏜,U+1F3DC,desert
793,🏝,U+1F3DD,desert island
794,🏞,U+1F3DE,national park
795,🏟,U+1F3DF,stadium
796,🏛,U+1F3DB,classical building
797,🏗,U+1F3D7,building construction
798,🧱,U+1F9F1,brick
799,🪨,U+1FAA8,rock
800,🪵,U+1FAB5,wood
801,🛖,U+1F6D6,hut
802,🏘,U+1F3D8,houses
803,🏚,U+1F3DA,derelict house
804,🏠,U+1F3E0,house
805,🏡,U+1F3E1,house with garden
806,🏢,U+1F3E2,office building
807,🏣,U+1F3E3,Japanese post office
808,🏤,U+1F3E4,post office
809,🏥,U+1F3E5,hospital
810,🏦,U+1F3E6,bank
811,🏨,U+1F3E8,hotel
812,🏩,U+1F3E9,love hotel
813,🏪,U+1F3EA,convenience store
814,🏫,U+1F3EB,school
815,🏬,U+1F3EC,department store
816,🏭,U+1F3ED,factory
817,🏯,U+1F3EF,Japanese castle
818,🏰,U+1F3F0,castle
819,💒,U+1F492,wedding
820,🗼,U+1F5FC,Tokyo tower
821,🗽,U+1F5FD,Statue of Liberty
822,⛪,U+26EA,church
823,🕌,U+1F54C,mosque
824,🛕,U+1F6D5,hindu temple
825,🕍,U+1F54D,synagogue
826,⛩,U+26E9,shinto shrine
827,🕋,U+1F54B,kaaba
828,⛲,U+26F2,fountain
829,⛺,U+26FA,tent
830,🌁,U+1F301,foggy
831,🌃,U+1F303,night with stars
832,🏙,U+1F3D9,cityscape
833,🌄,U+1F304,sunrise over mountains
834,🌅,U+1F305,sunrise
835,🌆,U+1F306,cityscape at dusk
836,🌇,U+1F307,sunset
837,🌉,U+1F309,bridge at night
838,♨,U+2668,hot springs
839,🎠,U+1F3A0,carousel horse
840,🎡,U+1F3A1,ferris wheel
841,🎢,U+1F3A2,roller coaster
842,💈,U+1F488,barber pole
843,🎪,U+1F3AA,circus tent
844,🚂,U+1F682,locomotive
845,🚃,U+1F683,railway car
846,🚄,U+1F684,high-speed train
847,🚅,U+1F685,bullet train
848,🚆,U+1F686,train
849,🚇,U+1F687,metro
850,🚈,U+1F688,light rail
851,🚉,U+1F689,station
852,🚊,U+1F68A,tram
853,🚝,U+1F69D,monorail
854,🚞,U+1F69E,mountain railway
855,🚋,U+1F68B,tram car
856,🚌,U+1F68C,bus
857,🚍,U+1F68D,oncoming bus
858,🚎,U+1F68E,trolleybus
859,🚐,U+1F690,minibus
860,🚑,U+1F691,ambulance
861,🚒,U+1F692,fire engine
862,🚓,U+1F693,police car
863,🚔,U+1F694,oncoming police car
864,🚕,U+1F695,taxi
865,🚖,U+1F696,oncoming taxi
866,🚗,U+1F697,automobile
867,🚘,U+1F698,oncoming automobile
868,🚙,U+1F699,sport utility vehicle
869,🛻,U+1F6FB,pickup truck
870,🚚,U+1F69A,delivery truck
871,🚛,U+1F69B,articulated lorry
872,🚜,U+1F69C,tractor
873,🏎,U+1F3CE,racing car
874,🏍,U+1F3CD,motorcycle
875,🛵,U+1F6F5,motor scooter
876,🦽,U+1F9BD,manual wheelchair
877,🦼,U+1F9BC,motorized wheelchair
878,🛺,U+1F6FA,auto rickshaw
879,🚲,U+1F6B2,bicycle
880,🛴,U+1F6F4,kick scooter
881,🛹,U+1F6F9,skateboard
882,🛼,U+1F6FC,roller skate
883,🚏,U+1F68F,bus stop
884,🛣,U+1F6E3,motorway
885,🛤,U+1F6E4,railway track
886,🛢,U+1F6E2,oil drum
887,⛽,U+26FD,fuel pump
888,🚨,U+1F6A8,police car light
889,🚥,U+1F6A5,horizontal traffic light
890,🚦,U+1F6A6,vertical traffic light
891,🛑,U+1F6D1,stop sign
892,🚧,U+1F6A7,construction
893,⚓,U+2693,anchor
894,⛵,U+26F5,sailboat
895,🛶,U+1F6F6,canoe
896,🚤,U+1F6A4,speedboat
897,🛳,U+1F6F3,passenger ship
898,⛴,U+26F4,ferry
899,🛥,U+1F6E5,motor boat
900,🚢,U+1F6A2,ship
901,✈,U+2708,airplane
902,🛩,U+1F6E9,small airplane
903,🛫,U+1F6EB,airplane departure
904,🛬,U+1F6EC,airplane arrival
905,🪂,U+1FA82,parachute
906,💺,U+1F4BA,seat
907,🚁,U+1F681,helicopter
908,🚟,U+1F69F,suspension railway
909,🚠,U+1F6A0,mountain cableway
910,🚡,U+1F6A1,aerial tramway
911,🛰,U+1F6F0,satellite
912,🚀,U+1F680,rocket
913,🛸,U+1F6F8,flying saucer
914,🛎,U+1F6CE,bellhop bell
915,🧳,U+1F9F3,luggage
916,⌛,U+231B,hourglass done
917,⏳,U+23F3,hourglass not done
918,⌚,U+231A,watch
919,⏰,U+23F0,alarm clock
920,⏱,U+23F1,stopwatch
921,⏲,U+23F2,timer clock
922,🕰,U+1F570,mantelpiece clock
923,🕛,U+1F55B,twelve o’clock
924,🕧,U+1F567,twelve-thirty
925,🕐,U+1F550,one o’clock
926,🕜,U+1F55C,one-thirty
927,🕑,U+1F551,two o’clock
928,🕝,U+1F55D,two-thirty
929,🕒,U+1F552,three o’clock
930,🕞,U+1F55E,three-thirty
931,🕓,U+1F553,four o’clock
932,🕟,U+1F55F,four-thirty
933,🕔,U+1F554,five o’clock
934,🕠,U+1F560,five-thirty
935,🕕,U+1F555,six o’clock
936,🕡,U+1F561,six-thirty
937,🕖,U+1F556,seven o’clock
938,🕢,U+1F562,seven-thirty
939,🕗,U+1F557,eight o’clock
940,🕣,U+1F563,eight-thirty
941,🕘,U+1F558,nine o’clock
942,🕤,U+1F564,nine-thirty
943,🕙,U+1F559,ten o’clock
944,🕥,U+1F565,ten-thirty
945,🕚,U+1F55A,eleven o’clock
946,🕦,U+1F566,eleven-thirty
947,🌑,U+1F311,new moon
948,🌒,U+1F312,waxing crescent moon
949,🌓,U+1F313,first quarter moon
950,🌔,U+1F314,waxing gibbous moon
951,🌕,U+1F315,full moon
952,🌖,U+1F316,waning gibbous moon
953,🌗,U+1F317,last quarter moon
954,🌘,U+1F318,waning crescent moon
955,🌙,U+1F319,crescent moon
956,🌚,U+1F31A,new moon face
957,🌛,U+1F31B,first quarter moon face
958,🌜,U+1F31C,last quarter moon face
959,🌡,U+1F321,thermometer
960,☀,U+2600,sun
961,🌝,U+1F31D,full moon face
962,🌞,U+1F31E,sun with face
963,🪐,U+1FA90,ringed planet
964,⭐,U+2B50,star
965,🌟,U+1F31F,glowing star
966,🌠,U+1F320,shooting star
967,🌌,U+1F30C,milky way
968,☁,U+2601,cloud
969,⛅,U+26C5,sun behind cloud
970,⛈,U+26C8,cloud with lightning and rain
971,🌤,U+1F324,sun behind small cloud
972,🌥,U+1F325,sun behind large cloud
973,🌦,U+1F326,sun behind rain cloud
974,🌧,U+1F327,cloud with rain
975,🌨,U+1F328,cloud with snow
976,🌩,U+1F329,cloud with lightning
977,🌪,U+1F32A,tornado
978,🌫,U+1F32B,fog
979,🌬,U+1F32C,wind face
980,🌀,U+1F300,cyclone
981,🌈,U+1F308,rainbow
982,🌂,U+1F302,closed umbrella
983,☂,U+2602,umbrella
984,☔,U+2614,umbrella with rain drops
985,⛱,U+26F1,umbrella on ground
986,⚡,U+26A1,high voltage
987,❄,U+2744,snowflake
988,☃,U+2603,snowman
989,⛄,U+26C4,snowman without snow
990,☄,U+2604,comet
991,🔥,U+1F525,fire
992,💧,U+1F4A7,droplet
993,🌊,U+1F30A,water wave
994,🎃,U+1F383,jack-o-lantern
995,🎄,U+1F384,Christmas tree
996,🎆,U+1F386,fireworks
997,🎇,U+1F387,sparkler
998,🧨,U+1F9E8,firecracker
999,✨,U+2728,sparkles
1000,🎈,U+1F388,balloon
1001,🎉,U+1F389,party popper
1002,🎊,U+1F38A,confetti ball
1003,🎋,U+1F38B,tanabata tree
1004,🎍,U+1F38D,pine decoration
1005,🎎,U+1F38E,Japanese dolls
1006,🎏,U+1F38F,carp streamer
1007,🎐,U+1F390,wind chime
1008,🎑,U+1F391,moon viewing ceremony
1009,🧧,U+1F9E7,red envelope
1010,🎀,U+1F380,ribbon
1011,🎁,U+1F381,wrapped gift
1012,🎗,U+1F397,reminder ribbon
1013,🎟,U+1F39F,admission tickets
1014,🎫,U+1F3AB,ticket
1015,🎖,U+1F396,military medal
1016,🏆,U+1F3C6,trophy
1017,🏅,U+1F3C5,sports medal
1018,🥇,U+1F947,1st place medal
1019,🥈,U+1F948,2nd place medal
1020,🥉,U+1F949,3rd place medal
1021,⚽,U+26BD,soccer ball
1022,⚾,U+26BE,baseball
1023,🥎,U+1F94E,softball
1024,🏀,U+1F3C0,basketball
1025,🏐,U+1F3D0,volleyball
1026,🏈,U+1F3C8,american football
1027,🏉,U+1F3C9,rugby football
1028,🎾,U+1F3BE,tennis
1029,🥏,U+1F94F,flying disc
1030,🎳,U+1F3B3,bowling
1031,🏏,U+1F3CF,cricket game
1032,🏑,U+1F3D1,field hockey
1033,🏒,U+1F3D2,ice hockey
1034,🥍,U+1F94D,lacrosse
1035,🏓,U+1F3D3,ping pong
1036,🏸,U+1F3F8,badminton
1037,🥊,U+1F94A,boxing glove
1038,🥋,U+1F94B,martial arts uniform
1039,🥅,U+1F945,goal net
1040,⛳,U+26F3,flag in hole
1041,⛸,U+26F8,ice skate
1042,🎣,U+1F3A3,fishing pole
1043,🤿,U+1F93F,diving mask
1044,🎽,U+1F3BD,running shirt
1045,🎿,U+1F3BF,skis
1046,🛷,U+1F6F7,sled
1047,🥌,U+1F94C,curling stone
1048,🎯,U+1F3AF,bullseye
1049,🪀,U+1FA80,yo-yo
1050,🪁,U+1FA81,kite
1051,🎱,U+1F3B1,pool 8 ball
1052,🔮,U+1F52E,crystal ball
1053,🪄,U+1FA84,magic wand
1054,🧿,U+1F9FF,nazar amulet
1055,🎮,U+1F3AE,video game
1056,🕹,U+1F579,joystick
1057,🎰,U+1F3B0,slot machine
1058,🎲,U+1F3B2,game die
1059,🧩,U+1F9E9,puzzle piece
1060,🧸,U+1F9F8,teddy bear
1061,🪅,U+1FA85,piñata
1062,🪆,U+1FA86,nesting dolls
1063,♠,U+2660,spade suit
1064,♥,U+2665,heart suit
1065,♦,U+2666,diamond suit
1066,♣,U+2663,club suit
1067,♟,U+265F,chess pawn
1068,🃏,U+1F0CF,joker
1069,🀄,U+1F004,mahjong red dragon
1070,🎴,U+1F3B4,flower playing cards
1071,🎭,U+1F3AD,performing arts
1072,🖼,U+1F5BC,framed picture
1073,🎨,U+1F3A8,artist palette
1074,🧵,U+1F9F5,thread
1075,🪡,U+1FAA1,sewing needle
1076,🧶,U+1F9F6,yarn
1077,🪢,U+1FAA2,knot
1078,👓,U+1F453,glasses
1079,🕶,U+1F576,sunglasses
1080,🥽,U+1F97D,goggles
1081,🥼,U+1F97C,lab coat
1082,🦺,U+1F9BA,safety vest
1083,👔,U+1F454,necktie
1084,👕,U+1F455,t-shirt
1085,👖,U+1F456,jeans
1086,🧣,U+1F9E3,scarf
1087,🧤,U+1F9E4,gloves
1088,🧥,U+1F9E5,coat
1089,🧦,U+1F9E6,socks
1090,👗,U+1F457,dress
1091,👘,U+1F458,kimono
1092,🥻,U+1F97B,sari
1093,🩱,U+1FA71,one-piece swimsuit
1094,🩲,U+1FA72,briefs
1095,🩳,U+1FA73,shorts
1096,👙,U+1F459,bikini
1097,👚,U+1F45A,woman’s clothes
1098,👛,U+1F45B,purse
1099,👜,U+1F45C,handbag
1100,👝,U+1F45D,clutch bag
1101,🛍,U+1F6CD,shopping bags
1102,🎒,U+1F392,backpack
1103,🩴,U+1FA74,thong sandal
1104,👞,U+1F45E,man’s shoe
1105,👟,U+1F45F,running shoe
1106,🥾,U+1F97E,hiking boot
1107,🥿,U+1F97F,flat shoe
1108,👠,U+1F460,high-heeled shoe
1109,👡,U+1F461,woman’s sandal
1110,🩰,U+1FA70,ballet shoes
1111,👢,U+1F462,woman’s boot
1112,👑,U+1F451,crown
1113,👒,U+1F452,woman’s hat
1114,🎩,U+1F3A9,top hat
1115,🎓,U+1F393,graduation cap
1116,🧢,U+1F9E2,billed cap
1117,🪖,U+1FA96,military helmet
1118,⛑,U+26D1,rescue worker’s helmet
1119,📿,U+1F4FF,prayer beads
1120,💄,U+1F484,lipstick
1121,💍,U+1F48D,ring
1122,💎,U+1F48E,gem stone
1123,🔇,U+1F507,muted speaker
1124,🔈,U+1F508,speaker low volume
1125,🔉,U+1F509,speaker medium volume
1126,🔊,U+1F50A,speaker high volume
1127,📢,U+1F4E2,loudspeaker
1128,📣,U+1F4E3,megaphone
1129,📯,U+1F4EF,postal horn
1130,🔔,U+1F514,bell
1131,🔕,U+1F515,bell with slash
1132,🎼,U+1F3BC,musical score
1133,🎵,U+1F3B5,musical note
1134,🎶,U+1F3B6,musical notes
1135,🎙,U+1F399,studio microphone
1136,🎚,U+1F39A,level slider
1137,🎛,U+1F39B,control knobs
1138,🎤,U+1F3A4,microphone
1139,🎧,U+1F3A7,headphone
1140,📻,U+1F4FB,radio
1141,🎷,U+1F3B7,saxophone
1142,🪗,U+1FA97,accordion
1143,🎸,U+1F3B8,guitar
1144,🎹,U+1F3B9,musical keyboard
1145,🎺,U+1F3BA,trumpet
1146,🎻,U+1F3BB,violin
1147,🪕,U+1FA95,banjo
1148,🥁,U+1F941,drum
1149,🪘,U+1FA98,long drum
1150,📱,U+1F4F1,mobile phone
1151,📲,U+1F4F2,mobile phone with arrow
1152,☎,U+260E,telephone
1153,📞,U+1F4DE,telephone receiver
1154,📟,U+1F4DF,pager
1155,📠,U+1F4E0,fax machine
1156,🔋,U+1F50B,battery
1157,🔌,U+1F50C,electric plug
1158,💻,U+1F4BB,laptop
1159,🖥,U+1F5A5,desktop computer
1160,🖨,U+1F5A8,printer
1161,⌨,U+2328,keyboard
1162,🖱,U+1F5B1,computer mouse
1163,🖲,U+1F5B2,trackball
1164,💽,U+1F4BD,computer disk
1165,💾,U+1F4BE,floppy disk
1166,💿,U+1F4BF,optical disk
1167,📀,U+1F4C0,dvd
1168,🧮,U+1F9EE,abacus
1169,🎥,U+1F3A5,movie camera
1170,🎞,U+1F39E,film frames
1171,📽,U+1F4FD,film projector
1172,🎬,U+1F3AC,clapper board
1173,📺,U+1F4FA,television
1174,📷,U+1F4F7,camera
1175,📸,U+1F4F8,camera with flash
1176,📹,U+1F4F9,video camera
1177,📼,U+1F4FC,videocassette
1178,🔍,U+1F50D,magnifying glass tilted left
1179,🔎,U+1F50E,magnifying glass tilted right
1180,🕯,U+1F56F,candle
1181,💡,U+1F4A1,light bulb
1182,🔦,U+1F526,flashlight
1183,🏮,U+1F3EE,red paper lantern
1184,🪔,U+1FA94,diya lamp
1185,📔,U+1F4D4,notebook with decorative cover
1186,📕,U+1F4D5,closed book
1187,📖,U+1F4D6,open book
1188,📗,U+1F4D7,green book
1189,📘,U+1F4D8,blue book
1190,📙,U+1F4D9,orange book
1191,📚,U+1F4DA,books
1192,📓,U+1F4D3,notebook
1193,📒,U+1F4D2,ledger
1194,📃,U+1F4C3,page with curl
1195,📜,U+1F4DC,scroll
1196,📄,U+1F4C4,page facing up
1197,📰,U+1F4F0,newspaper
1198,🗞,U+1F5DE,rolled-up newspaper
1199,📑,U+1F4D1,bookmark tabs
1200,🔖,U+1F516,bookmark
1201,🏷,U+1F3F7,label
1202,💰,U+1F4B0,money bag
1203,🪙,U+1FA99,coin
1204,💴,U+1F4B4,yen banknote
1205,💵,U+1F4B5,dollar banknote
1206,💶,U+1F4B6,euro banknote
1207,💷,U+1F4B7,pound banknote
1208,💸,U+1F4B8,money with wings
1209,💳,U+1F4B3,credit card
1210,🧾,U+1F9FE,receipt
1211,💹,U+1F4B9,chart increasing with yen
1212,✉,U+2709,envelope
1213,📧,U+1F4E7,e-mail
1214,📨,U+1F4E8,incoming envelope
1215,📩,U+1F4E9,envelope with arrow
1216,📤,U+1F4E4,outbox tray
1217,📥,U+1F4E5,inbox tray
1218,📦,U+1F4E6,package
1219,📫,U+1F4EB,closed mailbox with raised flag
1220,📪,U+1F4EA,closed mailbox with lowered flag
1221,📬,U+1F4EC,open mailbox with raised flag
1222,📭,U+1F4ED,open mailbox with lowered flag
1223,📮,U+1F4EE,postbox
1224,🗳,U+1F5F3,ballot box with ballot
1225,✏,U+270F,pencil
1226,✒,U+2712,black nib
1227,🖋,U+1F58B,fountain pen
1228,🖊,U+1F58A,pen
1229,🖌,U+1F58C,paintbrush
1230,🖍,U+1F58D,crayon
1231,📝,U+1F4DD,memo
1232,💼,U+1F4BC,briefcase
1233,📁,U+1F4C1,file folder
1234,📂,U+1F4C2,open file folder
1235,🗂,U+1F5C2,card index dividers
1236,📅,U+1F4C5,calendar
1237,📆,U+1F4C6,tear-off calendar
1238,🗒,U+1F5D2,spiral notepad
1239,🗓,U+1F5D3,spiral calendar
1240,📇,U+1F4C7,card index
1241,📈,U+1F4C8,chart increasing
1242,📉,U+1F4C9,chart decreasing
1243,📊,U+1F4CA,bar chart
1244,📋,U+1F4CB,clipboard
1245,📌,U+1F4CC,pushpin
1246,📍,U+1F4CD,round pushpin
1247,📎,U+1F4CE,paperclip
1248,🖇,U+1F587,linked paperclips
1249,📏,U+1F4CF,straight ruler
1250,📐,U+1F4D0,triangular ruler
1251,✂,U+2702,scissors
1252,🗃,U+1F5C3,card file box
1253,🗄,U+1F5C4,file cabinet
1254,🗑,U+1F5D1,wastebasket
1255,🔒,U+1F512,locked
1256,🔓,U+1F513,unlocked
1257,🔏,U+1F50F,locked with pen
1258,🔐,U+1F510,locked with key
1259,🔑,U+1F511,key
1260,🗝,U+1F5DD,old key
1261,🔨,U+1F528,hammer
1262,🪓,U+1FA93,axe
1263,⛏,U+26CF,pick
1264,⚒,U+2692,hammer and pick
1265,🛠,U+1F6E0,hammer and wrench
1266,🗡,U+1F5E1,dagger
1267,⚔,U+2694,crossed swords
