town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
17,4,128,10,2004,560000
8,3,126,3,1996,477000
13,2,91,5,2002,410000
23,1,67,3,1970,327000
22,3,119,3,1997,518000
9,1,67,9,1978,285000
25,1,67,9,1985,370000
4,2,92,9,1978,550000
9,3,119,3,1979,628000
5,3,110,10,2002,468000
15,2,82,3,1975,547000
0,2,95,5,2006,648000
13,1,59,3,1978,287000
24,2,100,5,1996,383000
19,4,143,4,1998,618000
21,2,91,9,1985,390000
9,1,67,9,1979,448800
8,2,104,5,1993,370000
13,3,110,10,2008,560000
17,3,110,10,2005,548000
12,3,131,5,1985,515000
4,3,126,3,1996,800000
9,1,67,9,1979,375000
23,2,91,5,2006,560000
3,1,68,9,1986,335000
24,4,163,1,1995,678000
22,1,76,5,1984,370000
4,2,90,5,2008,690000
5,3,110,10,2002,370000
20,2,90,5,2002,438000
4,2,90,5,2002,618000
13,2,91,5,2000,400000
20,4,135,1,1999,615000
4,2,74,12,1970,465000
16,3,122,3,1995,530288
24,2,91,9,1987,370000
5,3,122,3,1988,491888
16,3,125,3,1996,445000
8,2,92,9,1978,320000
1,1,67,9,1978,309000
24,2,103,5,1993,360000
13,1,66,3,1974,309000
20,3,116,3,2000,510000
8,2,109,5,1995,380000
20,2,95,10,2004,368000
23,1,67,3,1972,412000
3,2,84,11,1987,360000
13,3,110,3,2001,468000
9,1,68,9,1980,319000
0,3,118,3,1981,625000
4,1,76,3,1973,440000
13,3,109,12,1979,410000
13,3,110,3,2001,485888
13,2,104,5,1990,370000
13,1,73,5,1988,334000
12,3,135,5,1984,555000
13,2,104,5,1990,351000
0,1,67,9,1979,353000
16,2,104,5,1992,485000
13,4,133,1,2002,580000
24,4,177,1,1995,695000
24,4,174,1,1995,690000
22,2,106,5,1984,497000
25,1,68,3,1985,307000
3,2,92,5,2004,495000
13,1,65,3,1976,260000
23,3,116,3,2001,805000
18,1,67,9,1979,355000
22,1,64,11,1985,330000
20,3,121,3,1999,518000
4,1,67,9,1981,401000
22,2,84,11,1986,400000
16,2,103,5,1989,435000
12,1,67,9,1981,360000
3,2,91,9,1985,335000
18,1,65,3,1976,408888
19,3,111,10,2001,475000
25,1,64,11,1987,303000
10,1,68,9,1981,378888
24,2,86,7,2000,393000
23,1,65,3,1972,390000
21,1,60,3,1985,330000
0,2,93,9,1981,460000
25,3,133,3,1986,412000
20,4,130,1,2001,598000
16,2,103,5,1996,397000
20,3,110,3,2000,555000
5,2,104,5,1988,368000
13,1,67,9,1985,330000
23,0,43,12,1967,242000
11,2,90,7,1998,417000
14,3,109,3,2004,690000
18,1,65,3,1978,363888
13,1,74,3,1976,348000
8,1,73,5,1989,280000
2,1,64,11,1988,430000
18,2,90,5,2006,635000
25,1,67,9,1985,353000
1,1,66,3,1983,350000
3,2,84,11,1986,376000
13,3,110,10,2008,460000
13,2,109,5,1985,320000
9,1,67,9,1979,287000
16,3,126,3,1995,502000
8,3,110,3,2002,410000
25,1,74,5,1988,312000
19,2,94,10,2001,460000
14,4,140,1,1986,890000
16,3,134,5,1996,540000
8,2,105,5,1993,490000
12,1,73,3,1979,302000
13,2,93,10,2006,434000
13,1,75,5,1984,320000
24,3,119,3,1996,445000
24,2,102,5,1998,385000
25,1,67,9,1985,347000
13,4,130,1,2001,610000
16,2,105,5,1996,425000
13,2,91,5,2000,438000
11,2,85,7,2004,365000
13,1,73,5,1988,340000
25,2,84,11,1987,370000
1,2,92,9,1979,433888
11,2,101,5,1998,380000
20,2,93,5,2012,435000
5,2,90,10,2002,403000
23,2,104,5,1989,510000
25,2,84,11,1988,290000
25,3,122,3,1988,433000
21,3,121,3,1986,735000
4,1,88,9,1978,472000
16,2,104,5,1996,390000
4,2,84,11,1986,483000
1,2,92,9,1980,420000
1,2,84,11,1987,369000
5,3,121,3,1998,472000
1,4,148,4,1985,530000
13,1,64,11,1986,270000
4,3,117,3,1977,690000
22,2,104,5,1988,445000
23,1,67,3,1970,360000
12,3,121,3,1983,520000
22,2,104,5,1984,453000
25,4,159,1,1992,730000
13,3,122,3,1998,480000
16,2,103,5,1989,416800
5,2,84,11,1988,310000
4,1,63,3,1973,365000
6,1,73,3,1974,463000
25,2,93,9,1985,403000
13,2,91,5,2000,430000
13,2,106,5,1993,365000
3,1,69,3,1988,312000
25,2,97,5,2012,408000
20,2,90,5,2001,395000
21,2,94,9,1984,488000
0,1,75,9,1980,320000
1,2,92,9,1979,380000
8,3,110,3,2002,338000
25,3,122,3,1988,455000
22,2,103,5,1984,478000
13,3,123,10,1998,565000
3,2,103,5,1985,406000
23,1,67,3,1970,310000
23,4,147,1,1993,840000
2,1,68,3,1973,320000
5,2,90,10,2004,530000
20,4,134,10,2001,599000
8,1,68,9,1981,330000
20,2,85,7,2001,445000
11,4,148,4,1987,625000
14,2,90,5,2006,585000
3,2,104,5,1985,425000
3,2,107,5,1985,505000
24,3,111,3,2001,450000
20,2,95,5,2013,438000
13,1,67,9,1983,308000
22,3,122,3,1988,578000
11,2,93,9,1985,342000
25,2,83,11,1987,315000
0,3,125,3,1993,530000
25,3,125,3,1993,533000
18,3,110,3,2000,845000
14,2,101,5,1997,600000
12,2,91,7,1998,430000
1,2,92,9,1978,450000
20,3,110,10,2006,520000
17,3,110,3,2004,450000
14,1,60,12,1969,345000
12,1,67,9,1983,280000
11,2,105,5,1990,446000
13,3,110,3,2000,490000
22,1,74,5,1988,348000
14,1,68,9,1979,362000
8,2,109,5,1996,460000
14,1,68,3,1979,408000
4,2,100,5,2005,805000
23,2,76,5,2009,690000
20,4,134,10,2001,602000
25,2,89,11,1988,341888
25,3,122,3,1988,455000
20,2,95,10,2012,468888
23,2,104,5,1989,525000
13,2,91,5,2001,390000
13,2,102,5,1997,485500
25,1,74,5,1983,322000
9,1,82,9,1978,453888
3,1,60,3,1988,263000
22,2,105,5,1985,420000
24,1,73,9,1980,315000
4,1,53,12,1969,308000
22,2,104,5,1985,465000
23,3,120,3,1998,688000
23,1,57,12,1968,308000
23,1,61,12,1973,315000
22,2,104,5,1988,510000
8,3,116,3,1999,358888
17,3,114,10,2004,488000
0,3,120,2,2011,980000
17,2,90,5,2003,492000
1,2,84,3,1977,325888
21,1,60,3,1985,335000
18,1,69,5,2012,410000
22,3,122,3,1988,580000
13,4,130,1,2000,622000
24,1,60,3,1985,265000
25,3,133,3,1986,490000
18,2,84,3,1974,490000
15,1,70,3,1975,465000
25,3,122,3,1987,385000
16,3,126,3,1995,480000
22,3,109,2,2008,680000
22,1,75,5,1983,380000
22,3,121,3,1985,540000
4,3,120,3,1996,798000
11,2,84,11,1987,430000
1,2,95,9,1981,365000
1,1,68,9,1979,358000
13,4,139,1,1997,618800
5,3,121,3,1999,540000
25,4,146,4,1987,600000
3,3,119,3,1997,625000
17,2,90,5,2003,353000
3,2,103,5,1998,470000
17,2,94,5,2012,420000
25,2,84,11,1985,326000
1,1,68,9,1980,320000
0,2,98,9,1979,457000
13,1,65,3,1977,335000
3,1,73,5,1986,293000
5,2,93,10,2004,435000
9,1,68,9,1980,283000
16,3,128,3,1996,437000
25,1,64,11,1987,272000
13,3,128,3,1996,485000
17,2,93,5,2012,452000
2,2,112,5,1992,480000
1,4,147,4,1984,640000
17,3,110,3,2003,430000
2,3,121,3,1987,725000
20,2,96,10,2012,445000
5,4,130,1,2001,600000
21,1,73,3,1983,400000
8,2,104,5,1989,360000
24,4,141,1,1999,580000
20,2,93,5,2013,430000
20,2,90,10,2009,542888
14,2,91,3,1974,440000
20,3,121,3,1999,480000
16,3,125,3,1996,535000
4,2,74,12,1970,446888
8,2,104,5,1989,335000
5,2,101,5,1997,377500
13,1,59,3,1978,240000
20,4,134,10,2001,650000
19,4,125,1,2002,590000
25,2,84,11,1988,288000
24,2,89,11,1994,364000
16,2,114,5,1989,395000
4,1,88,12,1974,608000
13,4,147,1,1993,510000
21,3,120,3,1997,540000
8,1,73,5,1989,325000
6,3,128,3,1988,820000
16,2,106,5,1993,425000
13,3,122,3,1997,498000
10,1,58,3,1972,270000
25,5,164,8,1987,730000
13,3,115,10,2001,505000
22,3,133,5,1984,586800
17,3,114,10,2004,596000
7,1,70,3,1977,525000
1,2,92,5,2006,580000
8,2,106,5,1995,413000
5,2,90,10,2003,500000
16,3,122,3,1993,420000
23,2,104,5,1988,465000
8,3,120,3,1999,520000
